FID,Id,dem,dist
216,0,3.299999952,108
217,0,3.299999952,108.5
218,0,3.299999952,109
219,0,3.299999952,109.5
220,0,3.299999952,110
221,0,3.299999952,110.5
222,0,3.279999971,111
223,0,3.279999971,111.5
224,0,3.279999971,112
225,0,3.279999971,112.5
226,0,3.25999999,113
227,0,3.25999999,113.5
228,0,3.25999999,114
229,0,3.269999981,114.5
230,0,3.25,115
231,0,3.25,115.5
232,0,3.25,116
233,0,3.25,116.5
234,0,3.220000029,117
235,0,3.220000029,117.5
236,0,3.220000029,118
237,0,3.220000029,118.5
238,0,3.200000048,119
239,0,3.200000048,119.5
240,0,3.200000048,120
241,0,3.200000048,120.5
242,0,3.190000057,121
243,0,3.190000057,121.5
244,0,3.190000057,122
245,0,3.190000057,122.5
246,0,3.190000057,123
247,0,3.190000057,123.5
248,0,3.190000057,124
249,0,3.190000057,124.5
250,0,3.190000057,125
251,0,3.180000067,125.5
252,0,3.180000067,126
253,0,3.180000067,126.5
254,0,3.180000067,127
255,0,3.150000095,127.5
256,0,3.150000095,128
257,0,3.150000095,128.5
258,0,3.150000095,129
259,0,3.150000095,129.5
260,0,3.150000095,130
261,0,3.150000095,130.5
262,0,3.150000095,131
263,0,3.140000105,131.5
264,0,3.140000105,132
265,0,3.140000105,132.5
266,0,3.150000095,133
267,0,3.150000095,133.5
268,0,3.150000095,134
269,0,3.150000095,134.5
270,0,3.150000095,135
271,0,3.140000105,135.5
272,0,3.140000105,136
273,0,3.140000105,136.5
274,0,3.140000105,137
275,0,3.140000105,137.5
276,0,3.140000105,138
277,0,3.140000105,138.5
278,0,3.140000105,139
279,0,3.130000114,139.5
280,0,3.130000114,140
281,0,3.130000114,140.5
282,0,3.130000114,141
283,0,3.119999886,141.5
284,0,3.140000105,142
285,0,3.140000105,142.5
286,0,3.140000105,143
287,0,3.140000105,143.5
288,0,3.099999905,144
289,0,3.099999905,144.5
290,0,3.099999905,145
291,0,3.099999905,145.5
